label,data_time,data_memory,data_memory_inc,ml_time,ml_memory,ml_memory_inc
containerized-2024-08-15 17:38:08.918902-boost,3.1105000972747803,267.3711,117.9805,108.13399982452393,351.7617,34.78120000000001
containerized-2024-08-15 17:51:46.947760-boost,2.541300058364868,270.2148,120.32030000000005,115.6110999584198,369.7227,19.25
containerized-2024-08-15 17:56:48.789321-boost,3.858800172805786,266.6094,117.8438,134.72549986839294,366.9531,18.75
containerized-2024-08-15 18:01:03.588385-boost,1.77459979057312,267.7148,118.21090000000004,95.99289989471436,369.668,21.375
containerized-2024-08-15 18:38:48.084149-boost,2.2158000469207764,269.7617,120.1758,103.24390006065369,368.8281,18.75
containerized-2024-08-15 18:43:04.180831-boost,2.2655999660491943,266.2891,116.90240000000004,117.18469977378844,363.793,17.0
containerized-2024-08-15 18:47:32.506186-boost,2.3371999263763428,265.8594,116.4024,104.55859994888306,354.5898,34.80460000000005
containerized-2024-08-15 19:53:17.740684-boost,1.824599981307984,268.3086,118.8555,95.5585000514984,367.8789,19.0
containerized-2024-08-15 19:57:13.806940-boost,2.105899810791016,267.332,118.33589999999998,100.82710003852844,367.7422,17.125
containerized-2024-08-15 20:01:38.561950-boost,2.218899965286255,268.9336,119.50390000000002,119.95869994163512,368.1406,18.625
containerized-2024-08-15 20:11:39.951365-boost,2.256799936294556,268.0859,118.71089999999998,120.22639989852904,367.5781,19.0
containerized-2024-08-15 20:16:22.567201-boost,2.4126999378204346,267.8906,118.2031,124.9497001171112,367.0391,18.625
containerized-2024-08-15 20:21:07.722964-boost,2.408699989318848,268.1328,118.39839999999998,119.56389999389648,352.293,34.69920000000002
containerized-2024-08-15 20:28:17.949471-boost,3.4321999549865723,266.0156,116.8594,128.47930002212524,363.5781,17.0
containerized-2024-08-16 23:49:46.958247-boost,2.5911998748779297,266.7969,117.1094,95.56960010528564,364.5742,17.375
